id,campaign_id,metric_date,impressions,clicks,conversions,spend_cents,revenue_cents
1,1,2026-08-10,13483,193,6,22002,44004
2,1,2026-08-11,14035,230,6,18400,36800
3,1,2026-08-12,15897,276,9,30360,60720
4,1,2026-08-13,18295,298,7,29204,58408
5,1,2026-08-14,17939,317,8,25360,50720
6,1,2026-08-15,20164,372,10,35340,70680
7,1,2026-08-16,17928,296,8,33744,67488
8,1,2026-08-17,20015,300,9,24900,49800
9,1,2026-08-18,14824,275,7,32450,64900
10,1,2026-08-19,21144,347,11,27760,55520
11,1,2026-08-20,12661,227,5,19295,38590
12,1,2026-08-21,12598,188,6,20680,41360
13,1,2026-08-22,13867,224,6,26656,53312
14,1,2026-08-23,18006,297,6,29700,59400
15,1,2026-08-24,16612,307,8,31007,62014
16,1,2026-08-25,15365,248,6,27776,55552
17,1,2026-08-26,20771,374,9,37026,74052
18,1,2026-08-27,15877,267,6,30438,60876
19,1,2026-08-28,21803,385,10,35805,71610
20,1,2026-08-29,14101,233,6,25863,51726
21,1,2026-08-30,14572,253,8,25553,51106
22,1,2026-08-31,12185,211,5,25109,50218
23,1,2026-09-01,20474,338,7,30000,60000
24,1,2026-09-02,20018,300,7,30000,60000
25,1,2026-09-03,15662,241,7,30000,60000
26,1,2026-09-04,17935,268,7,30000,60000
27,1,2026-09-05,20126,297,7,30000,60000
28,1,2026-09-06,18029,328,9,30000,60000
29,1,2026-09-07,20532,302,8,30000,60000
30,1,2026-09-08,20000,300,6,30000,60000
31,2,2026-08-10,12774,186,4,17856,35712
32,2,2026-08-11,20529,327,9,29757,59514
33,2,2026-08-12,16974,270,8,22140,44280
34,2,2026-08-13,15577,254,8,26416,52832
35,2,2026-08-14,14857,267,5,24831,49662
36,2,2026-08-15,17568,332,11,29216,58432
37,2,2026-08-16,15480,219,6,25185,50370
38,2,2026-08-17,12216,213,6,21087,42174
39,2,2026-08-18,19675,313,9,34430,68860
40,2,2026-08-19,13027,233,6,25863,51726
41,2,2026-08-20,17389,245,6,26950,53900
42,2,2026-08-21,12009,174,4,19314,38628
43,2,2026-08-22,18154,277,7,25484,50968
44,2,2026-08-23,18149,333,11,29970,59940
45,2,2026-08-24,15344,254,5,24638,49276
46,2,2026-08-25,21324,345,10,29325,58650
47,2,2026-08-26,17658,289,7,25432,50864
48,2,2026-08-27,18648,298,7,25330,50660
49,2,2026-08-28,20558,381,10,38481,76962
50,2,2026-08-29,16690,301,7,30401,60802
51,2,2026-08-30,16629,258,5,24252,48504
52,2,2026-08-31,16790,317,7,36455,72910
53,2,2026-09-01,17113,299,7,16000,32000
54,2,2026-09-02,16148,250,7,16000,32000
55,2,2026-09-03,20597,333,10,16000,32000
56,2,2026-09-04,18626,279,8,16000,32000
57,2,2026-09-05,17727,299,6,16000,32000
58,2,2026-09-06,19982,367,10,16000,32000
59,2,2026-09-07,16908,290,9,16000,32000
60,2,2026-09-08,20000,80,4,16000,40000
61,3,2026-08-10,17606,250,7,21000,42000
62,3,2026-08-11,14370,227,5,26559,53118
63,3,2026-08-12,15600,233,6,24465,48930
64,3,2026-08-13,20163,383,10,45960,91920
65,3,2026-08-14,18796,280,9,30520,61040
66,3,2026-08-15,19714,321,7,29211,58422
67,3,2026-08-16,21319,309,6,34608,69216
68,3,2026-08-17,20961,376,8,32712,65424
69,3,2026-08-18,13532,229,7,19465,38930
70,3,2026-08-19,15769,284,9,32660,65320
71,3,2026-08-20,19780,311,6,24880,49760
72,3,2026-08-21,13695,223,8,22969,45938
73,3,2026-08-22,19564,283,9,28866,57732
74,3,2026-08-23,19101,318,10,27030,54060
75,3,2026-08-24,19672,355,12,38695,77390
76,3,2026-08-25,17939,297,6,27324,54648
77,3,2026-08-26,21638,331,9,33431,66862
78,3,2026-08-27,21717,357,8,34272,68544
79,3,2026-08-28,13565,197,6,20291,40582
80,3,2026-08-29,19099,271,9,30081,60162
81,3,2026-08-30,12824,221,5,20553,41106
82,3,2026-08-31,17778,319,10,30624,61248
83,3,2026-09-01,17395,297,7,20000,40000
84,3,2026-09-02,18392,278,9,20000,40000
85,3,2026-09-03,16786,269,6,20000,40000
86,3,2026-09-04,13469,248,7,20000,40000
87,3,2026-09-05,19983,337,11,20000,40000
88,3,2026-09-06,18327,276,6,20000,40000
89,3,2026-09-07,18794,268,9,20000,40000
90,3,2026-09-08,16000,240,8,32000,64000
91,4,2026-08-10,20651,383,11,44428,88856
92,4,2026-08-11,17734,304,8,30400,60800
93,4,2026-08-12,12500,237,5,26307,52614
94,4,2026-08-13,20841,313,7,34117,68234
95,4,2026-08-14,13366,224,6,23072,46144
96,4,2026-08-15,21295,326,10,37164,74328
97,4,2026-08-16,17643,258,8,20898,41796
98,4,2026-08-17,13966,218,7,22672,45344
99,4,2026-08-18,16189,251,6,29869,59738
100,4,2026-08-19,12409,182,5,20566,41132
101,4,2026-08-20,13593,196,5,16856,33712
102,4,2026-08-21,21265,331,12,38727,77454
103,4,2026-08-22,17196,244,8,20252,40504
104,4,2026-08-23,14407,205,6,20910,41820
105,4,2026-08-24,12374,176,4,16368,32736
106,4,2026-08-25,16827,310,10,29760,59520
107,4,2026-08-26,16087,275,6,23100,46200
108,4,2026-08-27,14061,267,6,29370,58740
109,4,2026-08-28,20863,331,9,38396,76792
110,4,2026-08-29,20864,340,9,34340,68680
111,4,2026-08-30,14848,258,8,26574,53148
112,4,2026-08-31,14700,243,7,23328,46656
113,4,2026-09-01,19121,352,9,20000,40000
114,4,2026-09-02,13679,259,6,20000,40000
115,4,2026-09-03,17849,289,9,20000,40000
116,4,2026-09-04,12071,183,5,20000,40000
117,4,2026-09-05,18174,324,9,20000,40000
118,4,2026-09-06,18219,269,6,20000,40000
119,4,2026-09-07,19269,350,10,20000,40000
120,4,2026-09-08,30000,300,1,20000,30000
121,5,2026-08-10,21885,386,10,42846,85692
122,5,2026-08-11,17759,257,8,20560,41120
123,5,2026-08-12,17437,323,9,38114,76228
124,5,2026-08-13,15297,247,8,21489,42978
125,5,2026-08-14,14195,253,8,21252,42504
126,5,2026-08-15,19919,301,7,25886,51772
127,5,2026-08-16,12865,241,8,28438,56876
128,5,2026-08-17,15494,231,7,22176,44352
129,5,2026-08-18,20941,388,11,42292,84584
130,5,2026-08-19,13980,248,8,28272,56544
131,5,2026-08-20,19148,357,12,33915,67830
132,5,2026-08-21,14580,254,7,29972,59944
133,5,2026-08-22,12555,238,6,23324,46648
134,5,2026-08-23,15202,219,6,25623,51246
135,5,2026-08-24,20083,342,8,33174,66348
136,5,2026-08-25,16808,297,9,27324,54648
137,5,2026-08-26,16019,279,8,28458,56916
138,5,2026-08-27,13894,212,5,18868,37736
139,5,2026-08-28,21076,344,9,29240,58480
140,5,2026-08-29,19509,320,9,28160,56320
141,5,2026-08-30,12430,184,6,16928,33856
142,5,2026-08-31,21920,362,9,39096,78192
143,5,2026-09-01,16531,283,6,65000,130000
144,5,2026-09-02,12659,201,6,65000,130000
145,5,2026-09-03,19253,343,12,65000,130000
146,5,2026-09-04,18187,270,9,65000,130000
147,5,2026-09-05,20427,302,10,65000,130000
148,5,2026-09-06,16116,257,7,65000,130000
149,5,2026-09-07,16073,274,6,65000,130000
150,5,2026-09-08,18000,250,5,65000,100000
151,6,2026-08-10,17499,325,8,30225,60450
152,6,2026-08-11,18032,311,10,33899,67798
153,6,2026-08-12,16086,293,7,33988,67976
154,6,2026-08-13,12126,177,5,15576,31152
155,6,2026-08-14,13587,202,5,18988,37976
156,6,2026-08-15,13518,206,6,19158,38316
157,6,2026-08-16,19026,303,9,27573,55146
158,6,2026-08-17,18202,333,8,36297,72594
159,6,2026-08-18,19781,324,9,28836,57672
160,6,2026-08-19,18006,333,8,33966,67932
161,6,2026-08-20,16527,296,8,29896,59792
162,6,2026-08-21,18871,289,8,26299,52598
163,6,2026-08-22,18834,302,7,25972,51944
164,6,2026-08-23,20107,322,7,36386,72772
165,6,2026-08-24,13449,209,5,18810,37620
166,6,2026-08-25,13455,238,6,27608,55216
167,6,2026-08-26,21334,377,8,31291,62582
168,6,2026-08-27,18060,269,7,24479,48958
169,6,2026-08-28,16693,316,7,37920,75840
170,6,2026-08-29,17362,248,7,26536,53072
171,6,2026-08-30,20911,315,8,28035,56070
172,6,2026-08-31,18508,321,8,28569,57138
