id,campaign_code,advertiser_id,name,status,daily_budget_cents,start_date,end_date,created_at
1,CMP001,1,早餐麦片日常推广,active,50000,2026-08-01,,2026-09-09T00:00:00Z
2,CMP002,1,低糖饼干素材测试,active,50000,2026-08-01,,2026-09-09T00:00:00Z
3,CMP003,1,坚果礼盒限时推广,active,60000,2026-08-01,,2026-09-09T00:00:00Z
4,CMP004,2,补水面膜人群测试,active,50000,2026-08-01,,2026-09-09T00:00:00Z
5,CMP005,2,精华液新品推广,active,100000,2026-08-01,,2026-09-09T00:00:00Z
6,CMP006,2,防晒霜日常推广,active,60000,2026-08-01,,2026-09-09T00:00:00Z
7,CMP007,3,婴儿湿巾拉新计划,active,80000,2026-08-01,,2026-09-09T00:00:00Z
8,CMP008,3,儿童洗护推广,active,80000,2026-08-01,,2026-09-09T00:00:00Z
9,CMP009,3,纸尿裤日常推广,active,60000,2026-08-01,,2026-09-09T00:00:00Z
10,CMP010,4,秋季新品启动计划,active,50000,2026-08-01,,2026-09-09T00:00:00Z
11,CMP011,4,通勤女装稳定投放,active,50000,2026-08-01,,2026-09-09T00:00:00Z
12,CMP012,4,基础款男装推广,active,50000,2026-08-01,,2026-09-09T00:00:00Z
13,CMP013,5,人体工学椅推广,active,120000,2026-08-01,,2026-09-09T00:00:00Z
14,CMP014,5,香薰新品小流量测试,active,10000,2026-08-01,,2026-09-09T00:00:00Z
15,CMP015,5,收纳用品暂停计划,paused,30000,2026-08-01,,2026-09-09T00:00:00Z
